city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,379.4,379.4,0.0,0.0,1.0
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,379.4,286.1,0.0,0.2459,1.0
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,286.1,379.4,0.0,0.0,1.0
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,286.1,286.1,0.0,0.0,1.0
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,297.4,0.0,0.5615,1.0
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,233.4,0.0,0.6558,1.0
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,297.4,0.0,0.2938,1.0
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,233.4,0.0,0.4456,1.0
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,299.2,297.4,0.0,0.006,1.0
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,299.2,233.4,0.0,0.2196,1.0
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,299.8,297.4,0.0,0.0082,1.0
City-A,T1,1x,180.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,299.8,233.4,0.0,0.2213,1.0
City-A,T1,1x,180.0,S5_CityCalib,routine,M_routine,800,True,1,270.0,297.4,0.0,0.0,1.0
City-A,T1,1x,180.0,S5_CityCalib,cross_regime,M_stress,800,True,1,270.0,233.4,0.0,0.1355,1.0
City-A,T1,1x,180.0,S6_Q10,routine,M_routine,800,True,2,253.8,676.7,0.0,0.0,1.0
City-A,T1,1x,180.0,S6_Q10,cross_regime,M_stress,800,True,2,253.8,519.5,0.0,0.0,1.0
City-A,T1,2x,360.0,S0a_RoutineOracle,routine,M_routine,800,True,1,379.4,379.4,0.0,0.0,1.0
City-A,T1,2x,360.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,379.4,286.1,73.9,0.2459,0.0
City-A,T1,2x,360.0,S0b_StressOracle,routine,M_routine,800,True,2,563.9,742.5,0.0,0.0,1.0
City-A,T1,2x,360.0,S0b_StressOracle,cross_regime,M_stress,800,True,2,563.9,563.9,0.0,0.0,1.0
City-A,T1,2x,360.0,S1_CapRR,routine,M_routine,800,True,1,678.2,297.4,62.6,0.5615,0.0
City-A,T1,2x,360.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,233.4,126.6,0.6558,0.0
