city,task_id,p_req_level,p_req,strategy,regime,pool_size,n_selected,p_commit,p_deliv,shortfall,ocr,success
City-A,T1,1x,180.0,S0_Oracle,routine,800,1,379.364,379.364,0.0,0.0,1.0
City-A,T1,1x,180.0,S0_Oracle,stress,800,1,379.364,248.01672076599937,0.0,0.3462302148701527,1.0
City-A,T1,1x,180.0,S1_CapOnly,routine,800,1,678.17287,297.358,0.0,0.56153067579952,1.0
City-A,T1,1x,180.0,S1_CapOnly,stress,800,1,678.17287,199.26621236901053,0.0,0.7061719493895258,1.0
City-A,T1,1x,180.0,S2_Platform,routine,800,1,421.075,297.358,0.0,0.2938122662233569,1.0
City-A,T1,1x,180.0,S2_Platform,stress,800,1,421.075,199.26621236901053,0.0,0.526767886079652,1.0
City-A,T1,1x,180.0,S3_Linear4,routine,800,1,310.3740162596014,297.358,0.0,0.041936552603406674,1.0
City-A,T1,1x,180.0,S3_Linear4,stress,800,1,310.3740162596014,199.26621236901053,0.0,0.3579803658488559,1.0
City-A,T1,1x,180.0,S4_GlobalCalib,routine,800,1,309.6319032183313,297.358,0.0,0.03964030544254528,1.0
City-A,T1,1x,180.0,S4_GlobalCalib,stress,800,1,309.6319032183313,199.26621236901053,0.0,0.35644159953213345,1.0
City-A,T1,1x,180.0,S5_CityCalib,routine,800,1,289.9320634234879,297.358,0.0,0.0,1.0
City-A,T1,1x,180.0,S5_CityCalib,stress,800,1,289.9320634234879,199.26621236901053,0.0,0.3127141233843002,1.0
City-A,T1,1x,180.0,S6_Q10,routine,800,2,255.15139368290036,676.722,0.0,0.0,1.0
City-A,T1,1x,180.0,S6_Q10,stress,800,2,255.15139368290036,447.2829331350099,0.0,0.0,1.0
City-A,T1,2x,360.0,S0_Oracle,routine,800,1,379.364,379.364,0.0,0.0,1.0
City-A,T1,2x,360.0,S0_Oracle,stress,800,1,379.364,248.01672076599937,111.98327923400063,0.3462302148701527,0.0
City-A,T1,2x,360.0,S1_CapOnly,routine,800,1,678.17287,297.358,62.641999999999996,0.56153067579952,0.0
City-A,T1,2x,360.0,S1_CapOnly,stress,800,1,678.17287,199.26621236901053,160.73378763098947,0.7061719493895258,0.0
City-A,T1,2x,360.0,S2_Platform,routine,800,1,421.075,297.358,62.641999999999996,0.2938122662233569,0.0
City-A,T1,2x,360.0,S2_Platform,stress,800,1,421.075,199.26621236901053,160.73378763098947,0.526767886079652,0.0
City-A,T1,2x,360.0,S3_Linear4,routine,800,2,559.1424658460598,542.455,0.0,0.029844747743867684,1.0
City-A,T1,2x,360.0,S3_Linear4,stress,800,2,559.1424658460598,359.50322539498075,0.4967746050192545,0.357045391193812,0.0
