regime,p_req_level,strategy,tsr_mean,tsr_std,tsr_min,tsr_max,n_seeds
routine,1x,S0a_RoutineOracle,100.0,0.0,100.0,100.0,30
routine,1x,S0b_StressOracle,98.22222222222223,2.9985096340586934,93.33333333333333,100.0,30
routine,1x,S1_CapRR,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,30
routine,1x,S2_Platform,99.33333333333333,2.0341905108624325,93.33333333333333,100.0,30
routine,1x,S3_Lin4,99.11111111111111,2.304972690945071,93.33333333333333,100.0,30
routine,1x,S4_GlobalCalib,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,30
routine,1x,S5_CityCalib,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,30
routine,1x,S6_Q10,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,30
routine,2x,S0a_RoutineOracle,100.0,0.0,100.0,100.0,30
routine,2x,S0b_StressOracle,94.88888888888891,5.159029084851113,80.0,100.0,30
routine,2x,S1_CapRR,76.66666666666667,10.019138773490074,60.0,93.33333333333333,30
routine,2x,S2_Platform,83.55555555555556,8.88122274784318,66.66666666666666,100.0,30
routine,2x,S3_Lin4,87.99999999999997,7.509891306333945,73.33333333333333,100.0,30
routine,2x,S4_GlobalCalib,89.33333333333333,8.858184517732264,73.33333333333333,100.0,30
routine,2x,S5_CityCalib,88.66666666666667,9.452441959823474,73.33333333333333,100.0,30
routine,2x,S6_Q10,97.77777777777777,3.644481823936894,86.66666666666667,100.0,30
routine,5x,S0a_RoutineOracle,100.0,0.0,100.0,100.0,30
routine,5x,S0b_StressOracle,99.11111111111111,2.3049726909450707,93.33333333333333,100.0,30
routine,5x,S1_CapRR,42.8888888888889,8.520128672302585,20.0,60.0,30
routine,5x,S2_Platform,77.1111111111111,8.520128672302587,60.0,93.33333333333333,30
routine,5x,S3_Lin4,89.77777777777777,6.488028074955043,80.0,100.0,30
routine,5x,S4_GlobalCalib,87.33333333333331,7.701320979389587,60.0,100.0,30
routine,5x,S5_CityCalib,86.88888888888887,7.923645844800147,60.0,100.0,30
routine,5x,S6_Q10,99.55555555555556,1.6913875446830844,93.33333333333333,100.0,30
routine,10x,S0a_RoutineOracle,100.0,0.0,100.0,100.0,30
routine,10x,S0b_StressOracle,100.0,0.0,100.0,100.0,30
routine,10x,S1_CapRR,4.888888888888888,4.931199704293782,0.0,20.0,30
routine,10x,S2_Platform,67.99999999999999,8.995528902176071,40.0,80.0,30
routine,10x,S3_Lin4,85.33333333333333,6.870448685064144,66.66666666666666,100.0,30
routine,10x,S4_GlobalCalib,85.33333333333334,5.911220579172476,73.33333333333333,100.0,30
routine,10x,S5_CityCalib,83.77777777777779,6.235071571105432,73.33333333333333,100.0,30
routine,10x,S6_Q10,100.0,0.0,100.0,100.0,30
cross_regime,1x,S0a_RoutineOracle,88.44444444444441,7.8165426960408375,66.66666666666666,100.0,30
cross_regime,1x,S0b_StressOracle,100.0,0.0,100.0,100.0,30
cross_regime,1x,S1_CapRR,91.33333333333334,6.814453874610597,80.0,100.0,30
cross_regime,1x,S2_Platform,90.44444444444444,6.708679877296341,80.0,100.0,30
cross_regime,1x,S3_Lin4,92.22222222222224,5.276517292512785,80.0,100.0,30
cross_regime,1x,S4_GlobalCalib,91.33333333333334,6.814453874610597,80.0,100.0,30
cross_regime,1x,S5_CityCalib,91.33333333333334,6.814453874610597,80.0,100.0,30
cross_regime,1x,S6_Q10,91.33333333333334,6.814453874610597,80.0,100.0,30
cross_regime,2x,S0a_RoutineOracle,28.444444444444443,11.865573155522982,6.666666666666667,46.666666666666664,30
cross_regime,2x,S0b_StressOracle,100.0,0.0,100.0,100.0,30
cross_regime,2x,S1_CapRR,31.77777777777778,9.043671538232863,13.333333333333334,53.333333333333336,30
cross_regime,2x,S2_Platform,36.44444444444445,9.052140718991502,20.0,66.66666666666666,30
cross_regime,2x,S3_Lin4,44.44444444444444,11.657084187294895,20.0,73.33333333333333,30
cross_regime,2x,S4_GlobalCalib,46.8888888888889,10.860781613996394,26.666666666666668,73.33333333333333,30
cross_regime,2x,S5_CityCalib,45.33333333333334,10.562711831061835,26.666666666666668,73.33333333333333,30
cross_regime,2x,S6_Q10,83.55555555555557,8.88122274784318,66.66666666666666,100.0,30
cross_regime,5x,S0a_RoutineOracle,3.555555555555556,4.542969249740399,0.0,20.0,30
cross_regime,5x,S0b_StressOracle,100.0,0.0,100.0,100.0,30
cross_regime,5x,S1_CapRR,1.5555555555555556,3.360046219958206,0.0,13.333333333333334,30
cross_regime,5x,S2_Platform,9.555555555555555,5.159029084851115,0.0,20.0,30
cross_regime,5x,S3_Lin4,17.11111111111111,9.538521750789988,0.0,33.33333333333333,30
cross_regime,5x,S4_GlobalCalib,14.444444444444445,7.021223072620928,0.0,26.666666666666668,30
cross_regime,5x,S5_CityCalib,14.222222222222223,7.161697466401064,0.0,26.666666666666668,30
cross_regime,5x,S6_Q10,75.1111111111111,8.564979633221371,60.0,86.66666666666667,30
cross_regime,10x,S0a_RoutineOracle,0.0,0.0,0.0,0.0,30
cross_regime,10x,S0b_StressOracle,100.0,0.0,100.0,100.0,30
cross_regime,10x,S1_CapRR,0.0,0.0,0.0,0.0,30
cross_regime,10x,S2_Platform,3.333333333333334,3.8156764764822597,0.0,13.333333333333334,30
cross_regime,10x,S3_Lin4,3.777777777777778,3.7888051810395695,0.0,13.333333333333334,30
cross_regime,10x,S4_GlobalCalib,0.4444444444444445,1.691387544683083,0.0,6.666666666666667,30
cross_regime,10x,S5_CityCalib,0.4444444444444445,1.691387544683083,0.0,6.666666666666667,30
cross_regime,10x,S6_Q10,54.666666666666664,13.264188528440314,26.666666666666668,80.0,30
