regime,p_req_level,strategy,tsr_mean,tsr_std,tsr_min,tsr_max,n_seeds
routine,1x,S0a_RoutineOracle,100.0,0.0,100.0,100.0,30
routine,1x,S0b_StressOracle,100.0,0.0,100.0,100.0,30
routine,1x,S1_CapRR,100.0,0.0,100.0,100.0,30
routine,1x,S2_Platform,100.0,0.0,100.0,100.0,30
routine,1x,S3_Lin4,100.0,0.0,100.0,100.0,30
routine,1x,S4_GlobalCalib,100.0,0.0,100.0,100.0,30
routine,1x,S5_CityCalib,100.0,0.0,100.0,100.0,30
routine,1x,S6_Q10,100.0,0.0,100.0,100.0,30
routine,2x,S0a_RoutineOracle,100.0,0.0,100.0,100.0,30
routine,2x,S0b_StressOracle,100.0,0.0,100.0,100.0,30
routine,2x,S1_CapRR,100.0,0.0,100.0,100.0,30
routine,2x,S2_Platform,100.0,0.0,100.0,100.0,30
routine,2x,S3_Lin4,100.0,0.0,100.0,100.0,30
routine,2x,S4_GlobalCalib,100.0,0.0,100.0,100.0,30
routine,2x,S5_CityCalib,100.0,0.0,100.0,100.0,30
routine,2x,S6_Q10,100.0,0.0,100.0,100.0,30
routine,5x,S0a_RoutineOracle,100.0,0.0,100.0,100.0,30
routine,5x,S0b_StressOracle,100.0,0.0,100.0,100.0,30
routine,5x,S1_CapRR,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,30
routine,5x,S2_Platform,100.0,0.0,100.0,100.0,30
routine,5x,S3_Lin4,90.0,3.3903175181040472,86.66666666666667,93.33333333333333,30
routine,5x,S4_GlobalCalib,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,30
routine,5x,S5_CityCalib,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,30
routine,5x,S6_Q10,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,30
routine,10x,S0a_RoutineOracle,100.0,0.0,100.0,100.0,30
routine,10x,S0b_StressOracle,100.0,0.0,100.0,100.0,30
routine,10x,S1_CapRR,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,30
routine,10x,S2_Platform,100.0,0.0,100.0,100.0,30
routine,10x,S3_Lin4,90.8888888888889,3.267550119023735,86.66666666666667,93.33333333333333,30
routine,10x,S4_GlobalCalib,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,30
routine,10x,S5_CityCalib,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,30
routine,10x,S6_Q10,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,30
cross_regime,1x,S0a_RoutineOracle,100.0,0.0,100.0,100.0,30
cross_regime,1x,S0b_StressOracle,100.0,0.0,100.0,100.0,30
cross_regime,1x,S1_CapRR,100.0,0.0,100.0,100.0,30
cross_regime,1x,S2_Platform,100.0,0.0,100.0,100.0,30
cross_regime,1x,S3_Lin4,100.0,0.0,100.0,100.0,30
cross_regime,1x,S4_GlobalCalib,100.0,0.0,100.0,100.0,30
cross_regime,1x,S5_CityCalib,100.0,0.0,100.0,100.0,30
cross_regime,1x,S6_Q10,100.0,0.0,100.0,100.0,30
cross_regime,2x,S0a_RoutineOracle,80.0,0.0,80.0,80.0,30
cross_regime,2x,S0b_StressOracle,100.0,0.0,100.0,100.0,30
cross_regime,2x,S1_CapRR,80.0,0.0,80.0,80.0,30
cross_regime,2x,S2_Platform,86.66666666666664,2.890758581290855e-14,86.66666666666667,86.66666666666667,30
cross_regime,2x,S3_Lin4,80.0,0.0,80.0,80.0,30
cross_regime,2x,S4_GlobalCalib,80.0,0.0,80.0,80.0,30
cross_regime,2x,S5_CityCalib,80.0,0.0,80.0,80.0,30
cross_regime,2x,S6_Q10,80.0,0.0,80.0,80.0,30
cross_regime,5x,S0a_RoutineOracle,33.333333333333336,1.7507524381296338,26.666666666666668,40.0,30
cross_regime,5x,S0b_StressOracle,100.0,0.0,100.0,100.0,30
cross_regime,5x,S1_CapRR,33.333333333333336,7.226896453227138e-15,33.33333333333333,33.33333333333333,30
cross_regime,5x,S2_Platform,80.0,0.0,80.0,80.0,30
cross_regime,5x,S3_Lin4,46.66666666666668,1.4453792906454277e-14,46.666666666666664,46.666666666666664,30
cross_regime,5x,S4_GlobalCalib,33.333333333333336,7.226896453227138e-15,33.33333333333333,33.33333333333333,30
cross_regime,5x,S5_CityCalib,33.333333333333336,7.226896453227138e-15,33.33333333333333,33.33333333333333,30
cross_regime,5x,S6_Q10,33.333333333333336,7.226896453227138e-15,33.33333333333333,33.33333333333333,30
cross_regime,10x,S0a_RoutineOracle,0.0,0.0,0.0,0.0,30
cross_regime,10x,S0b_StressOracle,100.0,0.0,100.0,100.0,30
cross_regime,10x,S1_CapRR,0.0,0.0,0.0,0.0,30
cross_regime,10x,S2_Platform,73.33333333333333,0.0,73.33333333333333,73.33333333333333,30
cross_regime,10x,S3_Lin4,6.666666666666665,1.8067241133067846e-15,6.666666666666667,6.666666666666667,30
cross_regime,10x,S4_GlobalCalib,0.0,0.0,0.0,0.0,30
cross_regime,10x,S5_CityCalib,0.0,0.0,0.0,0.0,30
cross_regime,10x,S6_Q10,0.0,0.0,0.0,0.0,30
