city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success,seed_id,master_seed
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,680.4,680.4,0.0,0.0,1.0,22,22000002048
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,680.4,444.7,0.0,0.3464,1.0,22,22000002048
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,444.7,680.4,0.0,0.0,1.0,22,22000002048
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,444.7,444.7,0.0,0.0,1.0,22,22000002048
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,680.4,0.0,0.0,1.0,22,22000002048
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,444.7,0.0,0.3442,1.0,22,22000002048
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,680.4,0.0,0.0,1.0,22,22000002048
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,444.7,0.0,0.0,1.0,22,22000002048
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,731.2,680.4,0.0,0.0694,1.0,22,22000002048
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,731.2,444.7,0.0,0.3918,1.0,22,22000002048
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,675.8,680.4,0.0,0.0,1.0,22,22000002048
City-A,T1,1x,180.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,675.8,444.7,0.0,0.3419,1.0,22,22000002048
City-A,T1,1x,180.0,S5_CityCalib,routine,M_routine,800,True,1,674.9,680.4,0.0,0.0,1.0,22,22000002048
City-A,T1,1x,180.0,S5_CityCalib,cross_regime,M_stress,800,True,1,674.9,444.7,0.0,0.341,1.0,22,22000002048
City-A,T1,1x,180.0,S6_Q10,routine,M_routine,800,True,1,668.1,680.4,0.0,0.0,1.0,22,22000002048
City-A,T1,1x,180.0,S6_Q10,cross_regime,M_stress,800,True,1,668.1,444.7,0.0,0.3343,1.0,22,22000002048
City-A,T1,2x,360.0,S0a_RoutineOracle,routine,M_routine,800,True,1,680.4,680.4,0.0,0.0,1.0,22,22000002048
City-A,T1,2x,360.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,680.4,444.7,0.0,0.3464,1.0,22,22000002048
City-A,T1,2x,360.0,S0b_StressOracle,routine,M_routine,800,True,1,444.7,680.4,0.0,0.0,1.0,22,22000002048
City-A,T1,2x,360.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,444.7,444.7,0.0,0.0,1.0,22,22000002048
City-A,T1,2x,360.0,S1_CapRR,routine,M_routine,800,True,1,678.2,680.4,0.0,0.0,1.0,22,22000002048
City-A,T1,2x,360.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,444.7,0.0,0.3442,1.0,22,22000002048
City-A,T1,2x,360.0,S2_Platform,routine,M_routine,800,True,1,421.1,680.4,0.0,0.0,1.0,22,22000002048
City-A,T1,2x,360.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,444.7,0.0,0.0,1.0,22,22000002048
City-A,T1,2x,360.0,S3_Lin4,routine,M_routine,800,True,1,731.2,680.4,0.0,0.0694,1.0,22,22000002048
City-A,T1,2x,360.0,S3_Lin4,cross_regime,M_stress,800,True,1,731.2,444.7,0.0,0.3918,1.0,22,22000002048
City-A,T1,2x,360.0,S4_GlobalCalib,routine,M_routine,800,True,1,675.8,680.4,0.0,0.0,1.0,22,22000002048
City-A,T1,2x,360.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,675.8,444.7,0.0,0.3419,1.0,22,22000002048
City-A,T1,2x,360.0,S5_CityCalib,routine,M_routine,800,True,1,674.9,680.4,0.0,0.0,1.0,22,22000002048
City-A,T1,2x,360.0,S5_CityCalib,cross_regime,M_stress,800,True,1,674.9,444.7,0.0,0.341,1.0,22,22000002048
City-A,T1,2x,360.0,S6_Q10,routine,M_routine,800,True,1,668.1,680.4,0.0,0.0,1.0,22,22000002048
City-A,T1,2x,360.0,S6_Q10,cross_regime,M_stress,800,True,1,668.1,444.7,0.0,0.3343,1.0,22,22000002048
City-A,T1,5x,900.0,S0a_RoutineOracle,routine,M_routine,800,True,2,1297.7,1297.7,0.0,0.0,1.0,22,22000002048
City-A,T1,5x,900.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,2,1297.7,849.8,50.2,0.3452,0.0,22,22000002048
City-A,T1,5x,900.0,S0b_StressOracle,routine,M_routine,800,True,3,1241.2,1896.0,0.0,0.0,1.0,22,22000002048
City-A,T1,5x,900.0,S0b_StressOracle,cross_regime,M_stress,800,True,3,1241.2,1241.2,0.0,0.0,1.0,22,22000002048
City-A,T1,5x,900.0,S1_CapRR,routine,M_routine,800,True,2,1293.4,1297.7,0.0,0.0,1.0,22,22000002048
City-A,T1,5x,900.0,S1_CapRR,cross_regime,M_stress,800,True,2,1293.4,849.8,50.2,0.343,0.0,22,22000002048
City-A,T1,5x,900.0,S2_Platform,routine,M_routine,800,True,3,1202.1,1821.5,0.0,0.0,1.0,22,22000002048
City-A,T1,5x,900.0,S2_Platform,cross_regime,M_stress,800,True,3,1202.1,1191.4,0.0,0.0089,1.0,22,22000002048
City-A,T1,5x,900.0,S3_Lin4,routine,M_routine,800,True,2,1307.2,1278.7,0.0,0.0218,1.0,22,22000002048
City-A,T1,5x,900.0,S3_Lin4,cross_regime,M_stress,800,True,2,1307.2,836.2,63.8,0.3603,0.0,22,22000002048
City-A,T1,5x,900.0,S4_GlobalCalib,routine,M_routine,800,True,2,1288.8,1297.7,0.0,0.0,1.0,22,22000002048
City-A,T1,5x,900.0,S4_GlobalCalib,cross_regime,M_stress,800,True,2,1288.8,849.8,50.2,0.3407,0.0,22,22000002048
City-A,T1,5x,900.0,S5_CityCalib,routine,M_routine,800,True,2,1287.1,1297.7,0.0,0.0,1.0,22,22000002048
City-A,T1,5x,900.0,S5_CityCalib,cross_regime,M_stress,800,True,2,1287.1,849.8,50.2,0.3398,0.0,22,22000002048
City-A,T1,5x,900.0,S6_Q10,routine,M_routine,800,True,2,1274.1,1297.7,0.0,0.0,1.0,22,22000002048
City-A,T1,5x,900.0,S6_Q10,cross_regime,M_stress,800,True,2,1274.1,849.8,50.2,0.333,0.0,22,22000002048
City-A,T1,10x,1800.0,S0a_RoutineOracle,routine,M_routine,800,True,3,1896.0,1896.0,0.0,0.0,1.0,22,22000002048
City-A,T1,10x,1800.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,3,1896.0,1241.2,558.8,0.3453,0.0,22,22000002048
City-A,T1,10x,1800.0,S0b_StressOracle,routine,M_routine,800,True,5,1992.6,3046.5,0.0,0.0,1.0,22,22000002048
City-A,T1,10x,1800.0,S0b_StressOracle,cross_regime,M_stress,800,True,5,1992.6,1992.6,0.0,0.0,1.0,22,22000002048
City-A,T1,10x,1800.0,S1_CapRR,routine,M_routine,800,True,3,1889.7,1896.0,0.0,0.0,1.0,22,22000002048
City-A,T1,10x,1800.0,S1_CapRR,cross_regime,M_stress,800,True,3,1889.7,1241.2,558.8,0.3432,0.0,22,22000002048
City-A,T1,10x,1800.0,S2_Platform,routine,M_routine,800,True,5,1914.5,2896.4,0.0,0.0,1.0,22,22000002048
City-A,T1,10x,1800.0,S2_Platform,cross_regime,M_stress,800,True,5,1914.5,1893.7,0.0,0.0109,1.0,22,22000002048
City-A,T1,10x,1800.0,S3_Lin4,routine,M_routine,800,True,3,1873.9,1811.2,0.0,0.0334,1.0,22,22000002048
City-A,T1,10x,1800.0,S3_Lin4,cross_regime,M_stress,800,True,3,1873.9,1183.4,616.6,0.3685,0.0,22,22000002048
City-A,T1,10x,1800.0,S4_GlobalCalib,routine,M_routine,800,True,3,1883.1,1896.0,0.0,0.0,1.0,22,22000002048
City-A,T1,10x,1800.0,S4_GlobalCalib,cross_regime,M_stress,800,True,3,1883.1,1241.2,558.8,0.3409,0.0,22,22000002048
City-A,T1,10x,1800.0,S5_CityCalib,routine,M_routine,800,True,3,1880.5,1896.0,0.0,0.0,1.0,22,22000002048
City-A,T1,10x,1800.0,S5_CityCalib,cross_regime,M_stress,800,True,3,1880.5,1241.2,558.8,0.34,0.0,22,22000002048
City-A,T1,10x,1800.0,S6_Q10,routine,M_routine,800,True,3,1861.5,1896.0,0.0,0.0,1.0,22,22000002048
City-A,T1,10x,1800.0,S6_Q10,cross_regime,M_stress,800,True,3,1861.5,1241.2,558.8,0.3332,0.0,22,22000002048
City-A,T2,1x,260.0,S0a_RoutineOracle,routine,M_routine,800,True,1,670.4,670.4,0.0,0.0,1.0,22,22000002048
City-A,T2,1x,260.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,670.4,438.2,0.0,0.3464,1.0,22,22000002048
City-A,T2,1x,260.0,S0b_StressOracle,routine,M_routine,800,True,1,438.2,670.4,0.0,0.0,1.0,22,22000002048
