city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success,seed_id,master_seed
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,495.1,495.1,0.0,0.0,1.0,16,16000002048
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,495.1,223.9,0.0,0.5478,1.0,16,16000002048
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,379.8,401.1,0.0,0.0,1.0,16,16000002048
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,379.8,379.8,0.0,0.0,1.0,16,16000002048
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,401.1,0.0,0.4085,1.0,16,16000002048
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,379.8,0.0,0.44,1.0,16,16000002048
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,401.1,0.0,0.0473,1.0,16,16000002048
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,379.8,0.0,0.098,1.0,16,16000002048
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,486.2,401.1,0.0,0.175,1.0,16,16000002048
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,486.2,379.8,0.0,0.2189,1.0,16,16000002048
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,451.9,401.1,0.0,0.1123,1.0,16,16000002048
City-A,T1,1x,180.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,451.9,379.8,0.0,0.1595,1.0,16,16000002048
City-A,T1,1x,180.0,S5_CityCalib,routine,M_routine,800,True,1,440.1,401.1,0.0,0.0886,1.0,16,16000002048
City-A,T1,1x,180.0,S5_CityCalib,cross_regime,M_stress,800,True,1,440.1,379.8,0.0,0.1371,1.0,16,16000002048
City-A,T1,1x,180.0,S6_Q10,routine,M_routine,800,True,1,315.0,401.1,0.0,0.0,1.0,16,16000002048
City-A,T1,1x,180.0,S6_Q10,cross_regime,M_stress,800,True,1,315.0,379.8,0.0,0.0,1.0,16,16000002048
City-A,T1,2x,360.0,S0a_RoutineOracle,routine,M_routine,800,True,1,495.1,495.1,0.0,0.0,1.0,16,16000002048
City-A,T1,2x,360.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,495.1,223.9,136.1,0.5478,0.0,16,16000002048
City-A,T1,2x,360.0,S0b_StressOracle,routine,M_routine,800,True,1,379.8,401.1,0.0,0.0,1.0,16,16000002048
City-A,T1,2x,360.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,379.8,379.8,0.0,0.0,1.0,16,16000002048
City-A,T1,2x,360.0,S1_CapRR,routine,M_routine,800,True,1,678.2,401.1,0.0,0.4085,1.0,16,16000002048
City-A,T1,2x,360.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,379.8,0.0,0.44,1.0,16,16000002048
City-A,T1,2x,360.0,S2_Platform,routine,M_routine,800,True,1,421.1,401.1,0.0,0.0473,1.0,16,16000002048
City-A,T1,2x,360.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,379.8,0.0,0.098,1.0,16,16000002048
City-A,T1,2x,360.0,S3_Lin4,routine,M_routine,800,True,1,486.2,401.1,0.0,0.175,1.0,16,16000002048
City-A,T1,2x,360.0,S3_Lin4,cross_regime,M_stress,800,True,1,486.2,379.8,0.0,0.2189,1.0,16,16000002048
City-A,T1,2x,360.0,S4_GlobalCalib,routine,M_routine,800,True,1,451.9,401.1,0.0,0.1123,1.0,16,16000002048
City-A,T1,2x,360.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,451.9,379.8,0.0,0.1595,1.0,16,16000002048
City-A,T1,2x,360.0,S5_CityCalib,routine,M_routine,800,True,1,440.1,401.1,0.0,0.0886,1.0,16,16000002048
City-A,T1,2x,360.0,S5_CityCalib,cross_regime,M_stress,800,True,1,440.1,379.8,0.0,0.1371,1.0,16,16000002048
City-A,T1,2x,360.0,S6_Q10,routine,M_routine,800,True,2,600.8,896.2,0.0,0.0,1.0,16,16000002048
City-A,T1,2x,360.0,S6_Q10,cross_regime,M_stress,800,True,2,600.8,603.7,0.0,0.0,1.0,16,16000002048
City-A,T1,5x,900.0,S0a_RoutineOracle,routine,M_routine,800,True,2,934.6,934.6,0.0,0.0,1.0,16,16000002048
City-A,T1,5x,900.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,2,934.6,444.8,455.2,0.5241,0.0,16,16000002048
City-A,T1,5x,900.0,S0b_StressOracle,routine,M_routine,800,True,3,997.7,1039.9,0.0,0.0,1.0,16,16000002048
City-A,T1,5x,900.0,S0b_StressOracle,cross_regime,M_stress,800,True,3,997.7,997.7,0.0,0.0,1.0,16,16000002048
City-A,T1,5x,900.0,S1_CapRR,routine,M_routine,800,True,2,1293.4,896.2,3.8,0.307,0.0,16,16000002048
City-A,T1,5x,900.0,S1_CapRR,cross_regime,M_stress,800,True,2,1293.4,603.7,296.3,0.5333,0.0,16,16000002048
City-A,T1,5x,900.0,S2_Platform,routine,M_routine,800,True,3,1202.1,1262.0,0.0,0.0,1.0,16,16000002048
City-A,T1,5x,900.0,S2_Platform,cross_regime,M_stress,800,True,3,1202.1,726.8,173.2,0.3954,0.0,16,16000002048
City-A,T1,5x,900.0,S3_Lin4,routine,M_routine,800,True,3,1246.7,1006.8,0.0,0.1924,1.0,16,16000002048
City-A,T1,5x,900.0,S3_Lin4,cross_regime,M_stress,800,True,3,1246.7,864.9,35.1,0.3062,0.0,16,16000002048
City-A,T1,5x,900.0,S4_GlobalCalib,routine,M_routine,800,True,3,1259.2,1244.6,0.0,0.0116,1.0,16,16000002048
City-A,T1,5x,900.0,S4_GlobalCalib,cross_regime,M_stress,800,True,3,1259.2,907.4,0.0,0.2794,1.0,16,16000002048
City-A,T1,5x,900.0,S5_CityCalib,routine,M_routine,800,True,3,1227.1,1244.6,0.0,0.0,1.0,16,16000002048
City-A,T1,5x,900.0,S5_CityCalib,cross_regime,M_stress,800,True,3,1227.1,907.4,0.0,0.2605,1.0,16,16000002048
City-A,T1,5x,900.0,S6_Q10,routine,M_routine,800,True,4,1148.3,1527.2,0.0,0.0,1.0,16,16000002048
City-A,T1,5x,900.0,S6_Q10,cross_regime,M_stress,800,True,4,1148.3,1156.4,0.0,0.0,1.0,16,16000002048
City-A,T1,10x,1800.0,S0a_RoutineOracle,routine,M_routine,800,True,5,2115.2,2115.2,0.0,0.0,1.0,16,16000002048
City-A,T1,10x,1800.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,5,2115.2,1241.0,559.0,0.4133,0.0,16,16000002048
City-A,T1,10x,1800.0,S0b_StressOracle,routine,M_routine,800,True,7,2008.9,2071.6,0.0,0.0,1.0,16,16000002048
City-A,T1,10x,1800.0,S0b_StressOracle,cross_regime,M_stress,800,True,7,2008.9,2008.9,0.0,0.0,1.0,16,16000002048
City-A,T1,10x,1800.0,S1_CapRR,routine,M_routine,800,True,3,1889.7,1244.6,555.4,0.3414,0.0,16,16000002048
City-A,T1,10x,1800.0,S1_CapRR,cross_regime,M_stress,800,True,3,1889.7,907.4,892.6,0.5198,0.0,16,16000002048
City-A,T1,10x,1800.0,S2_Platform,routine,M_routine,800,True,5,1914.5,1970.4,0.0,0.0,1.0,16,16000002048
City-A,T1,10x,1800.0,S2_Platform,cross_regime,M_stress,800,True,5,1914.5,1129.1,670.9,0.4102,0.0,16,16000002048
City-A,T1,10x,1800.0,S3_Lin4,routine,M_routine,800,True,5,1965.0,1784.6,15.4,0.0918,0.0,16,16000002048
City-A,T1,10x,1800.0,S3_Lin4,cross_regime,M_stress,800,True,5,1965.0,1337.9,462.1,0.3191,0.0,16,16000002048
City-A,T1,10x,1800.0,S4_GlobalCalib,routine,M_routine,800,True,5,2024.1,1966.8,0.0,0.0283,1.0,16,16000002048
City-A,T1,10x,1800.0,S4_GlobalCalib,cross_regime,M_stress,800,True,5,2024.1,1377.3,422.7,0.3195,0.0,16,16000002048
City-A,T1,10x,1800.0,S5_CityCalib,routine,M_routine,800,True,5,1972.9,1966.8,0.0,0.0031,1.0,16,16000002048
City-A,T1,10x,1800.0,S5_CityCalib,cross_regime,M_stress,800,True,5,1972.9,1377.3,422.7,0.3019,0.0,16,16000002048
City-A,T1,10x,1800.0,S6_Q10,routine,M_routine,800,True,7,1899.0,2589.9,0.0,0.0,1.0,16,16000002048
City-A,T1,10x,1800.0,S6_Q10,cross_regime,M_stress,800,True,7,1899.0,1681.8,118.2,0.1143,0.0,16,16000002048
City-A,T2,1x,260.0,S0a_RoutineOracle,routine,M_routine,800,True,1,458.3,458.3,0.0,0.0,1.0,16,16000002048
City-A,T2,1x,260.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,458.3,328.8,0.0,0.2825,1.0,16,16000002048
City-A,T2,1x,260.0,S0b_StressOracle,routine,M_routine,800,True,1,328.8,458.3,0.0,0.0,1.0,16,16000002048
