config,city,task_id,req_type,req_level,p_req,strategy,regime,success,n_selected,p_commit,p_deliv,shortfall,ocr
A_corrected_base,City-A,T1,absolute,1x,180.0,S0a_RoutineOracle,routine,1.0,1,664.3673094060466,664.3673094060466,0.0,0.0
A_corrected_base,City-A,T1,absolute,1x,180.0,S0a_RoutineOracle,cross_regime,1.0,1,664.3673094060466,443.4713347371658,0.0,0.3324907344799442
A_corrected_base,City-A,T1,absolute,1x,180.0,S0b_StressOracle,routine,1.0,1,443.4713347371658,664.3673094060466,0.0,0.0
A_corrected_base,City-A,T1,absolute,1x,180.0,S0b_StressOracle,cross_regime,1.0,1,443.4713347371658,443.4713347371658,0.0,0.0
A_corrected_base,City-A,T1,absolute,1x,180.0,S1_CapRR,routine,1.0,1,678.17287,664.3673094060466,0.0,0.020356993334093965
A_corrected_base,City-A,T1,absolute,1x,180.0,S1_CapRR,cross_regime,1.0,1,678.17287,443.4713347371658,0.0,0.34607921614858195
A_corrected_base,City-A,T1,absolute,1x,180.0,S2_Platform,routine,1.0,1,421.075,664.3673094060466,0.0,0.0
A_corrected_base,City-A,T1,absolute,1x,180.0,S2_Platform,cross_regime,1.0,1,421.075,443.4713347371658,0.0,0.0
A_corrected_base,City-A,T1,absolute,1x,180.0,S3_Lin4,routine,1.0,1,730.3420338115274,664.3673094060466,0.0,0.0903340097531703
A_corrected_base,City-A,T1,absolute,1x,180.0,S3_Lin4,cross_regime,1.0,1,730.3420338115274,443.4713347371658,0.0,0.3927895229817645
A_corrected_base,City-A,T1,absolute,1x,180.0,S4_GlobalCalib,routine,1.0,1,675.228304657699,664.3673094060466,0.0,0.016084922946407433
A_corrected_base,City-A,T1,absolute,1x,180.0,S4_GlobalCalib,cross_regime,1.0,1,675.228304657699,443.4713347371658,0.0,0.34322756958184736
A_corrected_base,City-A,T1,absolute,1x,180.0,S5_CityCalib,routine,1.0,1,674.6923929625748,664.3673094060466,0.0,0.015303394056646645
A_corrected_base,City-A,T1,absolute,1x,180.0,S5_CityCalib,cross_regime,1.0,1,674.6923929625748,443.4713347371658,0.0,0.3427058918066604
A_corrected_base,City-A,T1,absolute,1x,180.0,S6_Q10,routine,1.0,1,667.6327276339056,664.3673094060466,0.0,0.004891039777860532
A_corrected_base,City-A,T1,absolute,1x,180.0,S6_Q10,cross_regime,1.0,1,667.6327276339056,443.4713347371658,0.0,0.3357555488496933
A_corrected_base,City-A,T1,absolute,2x,360.0,S0a_RoutineOracle,routine,1.0,1,664.3673094060466,664.3673094060466,0.0,0.0
A_corrected_base,City-A,T1,absolute,2x,360.0,S0a_RoutineOracle,cross_regime,1.0,1,664.3673094060466,443.4713347371658,0.0,0.3324907344799442
A_corrected_base,City-A,T1,absolute,2x,360.0,S0b_StressOracle,routine,1.0,1,443.4713347371658,664.3673094060466,0.0,0.0
A_corrected_base,City-A,T1,absolute,2x,360.0,S0b_StressOracle,cross_regime,1.0,1,443.4713347371658,443.4713347371658,0.0,0.0
A_corrected_base,City-A,T1,absolute,2x,360.0,S1_CapRR,routine,1.0,1,678.17287,664.3673094060466,0.0,0.020356993334093965
A_corrected_base,City-A,T1,absolute,2x,360.0,S1_CapRR,cross_regime,1.0,1,678.17287,443.4713347371658,0.0,0.34607921614858195
A_corrected_base,City-A,T1,absolute,2x,360.0,S2_Platform,routine,1.0,1,421.075,664.3673094060466,0.0,0.0
A_corrected_base,City-A,T1,absolute,2x,360.0,S2_Platform,cross_regime,1.0,1,421.075,443.4713347371658,0.0,0.0
A_corrected_base,City-A,T1,absolute,2x,360.0,S3_Lin4,routine,1.0,1,730.3420338115274,664.3673094060466,0.0,0.0903340097531703
A_corrected_base,City-A,T1,absolute,2x,360.0,S3_Lin4,cross_regime,1.0,1,730.3420338115274,443.4713347371658,0.0,0.3927895229817645
A_corrected_base,City-A,T1,absolute,2x,360.0,S4_GlobalCalib,routine,1.0,1,675.228304657699,664.3673094060466,0.0,0.016084922946407433
A_corrected_base,City-A,T1,absolute,2x,360.0,S4_GlobalCalib,cross_regime,1.0,1,675.228304657699,443.4713347371658,0.0,0.34322756958184736
A_corrected_base,City-A,T1,absolute,2x,360.0,S5_CityCalib,routine,1.0,1,674.6923929625748,664.3673094060466,0.0,0.015303394056646645
