stress_config,s_new,K_active,severity,scope,city,task_id,p_req_level,strategy,success,n_selected,p_commit,p_deliv,shortfall,ocr,seed_id
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T1,5x,S0a_RoutineOracle,0.0,2,946.5585078188111,629.3975472694813,270.60245273051873,0.3350674659088695,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T1,5x,S0b_StressOracle_new,1.0,3,1192.6904898219723,1192.6904898219723,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T1,5x,S1_CapRR,0.0,2,1293.3561519999998,748.7025703580374,151.2974296419626,0.42111647344757247,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T1,5x,S4_GlobalCalib,1.0,3,1253.8860878440246,1138.371443530914,0.0,0.09212530981321485,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T1,5x,S6_Q10,1.0,4,1123.6927734373037,1433.5771894785175,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T2,5x,S0a_RoutineOracle,0.0,3,1327.7473122104284,939.5157586241365,360.48424137586346,0.29239867406695447,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T2,5x,S0b_StressOracle_new,1.0,4,1378.3483646159164,1378.3483646159164,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T2,5x,S1_CapRR,0.0,3,1889.6612019999998,1026.9721599744196,273.0278400255804,0.45653106552249584,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T2,5x,S4_GlobalCalib,1.0,4,1651.997202851647,1308.3807796166036,0.0,0.2080006083799047,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T2,5x,S6_Q10,1.0,5,1390.7141892604493,1587.922415373738,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T3,5x,S0a_RoutineOracle,0.0,3,1234.949289042793,819.6065996652837,180.39340033471626,0.336323679897367,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T3,5x,S0b_StressOracle_new,1.0,3,1067.9900248444856,1067.9900248444856,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T3,5x,S1_CapRR,0.0,2,1138.1160166,781.5089047941738,218.49109520582624,0.3133310722321191,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T3,5x,S4_GlobalCalib,0.0,3,1105.1118810247176,989.5206001428572,10.479399857142766,0.10459690359556906,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T3,5x,S6_Q10,1.0,5,1209.8271122800327,1436.8208997314682,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T4,5x,S0a_RoutineOracle,0.0,2,923.8568698454987,639.9827739161332,60.01722608386683,0.3072706446149383,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T4,5x,S0b_StressOracle_new,1.0,2,774.6174069254042,774.6174069254042,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T4,5x,S1_CapRR,0.0,2,1293.3561519999998,693.0677887626391,6.932211237360889,0.4641322982142979,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T4,5x,S4_GlobalCalib,0.0,2,863.2598525084748,693.0677887626391,6.932211237360889,0.1971504446213834,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T4,5x,S6_Q10,1.0,3,865.2263806001793,1072.8005398405794,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T5,5x,S0a_RoutineOracle,0.0,2,890.759856377392,482.92298429186746,317.07701570813254,0.4578527749826375,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T5,5x,S0b_StressOracle_new,1.0,3,881.8149773931902,881.8149773931902,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-A,T5,5x,S1_CapRR,0.0,2,1138.1160166,422.43258607739756,377.56741392260244,0.6288317008846165,0
