city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success,config_name,seed_id,xi_mean,xi_std,xi_dist,xi_persistence
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,584.3,584.3,0.0,0.0,1.0,dist_logitnorm,9,0.67,0.15,logitnorm,none
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,584.3,184.7,0.0,0.6838,1.0,dist_logitnorm,9,0.67,0.15,logitnorm,none
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,352.4,367.4,0.0,0.0,1.0,dist_logitnorm,9,0.67,0.15,logitnorm,none
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,352.4,352.4,0.0,0.0,1.0,dist_logitnorm,9,0.67,0.15,logitnorm,none
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,584.3,0.0,0.1384,1.0,dist_logitnorm,9,0.67,0.15,logitnorm,none
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,184.7,0.0,0.7276,1.0,dist_logitnorm,9,0.67,0.15,logitnorm,none
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,584.3,0.0,0.0,1.0,dist_logitnorm,9,0.67,0.15,logitnorm,none
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,184.7,0.0,0.5613,1.0,dist_logitnorm,9,0.67,0.15,logitnorm,none
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,488.1,584.3,0.0,0.0,1.0,dist_logitnorm,9,0.67,0.15,logitnorm,none
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,488.1,184.7,0.0,0.6215,1.0,dist_logitnorm,9,0.67,0.15,logitnorm,none
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,451.8,584.3,0.0,0.0,1.0,dist_logitnorm,9,0.67,0.15,logitnorm,none
