city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success,config_name,seed_id,xi_mean,xi_std,xi_dist,xi_persistence
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,469.4,469.4,0.0,0.0,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,469.4,249.0,0.0,0.4695,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,352.9,451.3,0.0,0.0,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,352.9,352.9,0.0,0.0,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,456.0,0.0,0.3276,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,274.2,0.0,0.5956,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,456.0,0.0,0.0,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,274.2,0.0,0.3487,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,484.7,456.0,0.0,0.0592,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,484.7,274.2,0.0,0.4342,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,446.7,456.0,0.0,0.0,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,1x,180.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,446.7,274.2,0.0,0.386,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,1x,180.0,S5_CityCalib,routine,M_routine,800,True,1,446.5,456.0,0.0,0.0,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,1x,180.0,S5_CityCalib,cross_regime,M_stress,800,True,1,446.5,274.2,0.0,0.3858,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,1x,180.0,S6_Q10,routine,M_routine,800,True,1,322.2,456.0,0.0,0.0,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,1x,180.0,S6_Q10,cross_regime,M_stress,800,True,1,322.2,274.2,0.0,0.149,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,2x,360.0,S0a_RoutineOracle,routine,M_routine,800,True,1,469.4,469.4,0.0,0.0,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,2x,360.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,469.4,249.0,111.0,0.4695,0.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,2x,360.0,S0b_StressOracle,routine,M_routine,800,True,2,627.1,907.3,0.0,0.0,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,2x,360.0,S0b_StressOracle,cross_regime,M_stress,800,True,2,627.1,627.1,0.0,0.0,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,2x,360.0,S1_CapRR,routine,M_routine,800,True,1,678.2,456.0,0.0,0.3276,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,2x,360.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,274.2,85.8,0.5956,0.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,2x,360.0,S2_Platform,routine,M_routine,800,True,1,421.1,456.0,0.0,0.0,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,2x,360.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,274.2,85.8,0.3487,0.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,2x,360.0,S3_Lin4,routine,M_routine,800,True,1,484.7,456.0,0.0,0.0592,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,2x,360.0,S3_Lin4,cross_regime,M_stress,800,True,1,484.7,274.2,85.8,0.4342,0.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,2x,360.0,S4_GlobalCalib,routine,M_routine,800,True,1,446.7,456.0,0.0,0.0,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,2x,360.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,446.7,274.2,85.8,0.386,0.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,2x,360.0,S5_CityCalib,routine,M_routine,800,True,1,446.5,456.0,0.0,0.0,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,2x,360.0,S5_CityCalib,cross_regime,M_stress,800,True,1,446.5,274.2,85.8,0.3858,0.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,2x,360.0,S6_Q10,routine,M_routine,800,True,2,614.5,774.1,0.0,0.0,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,2x,360.0,S6_Q10,cross_regime,M_stress,800,True,2,614.5,480.9,0.0,0.2174,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,5x,900.0,S0a_RoutineOracle,routine,M_routine,800,True,2,925.4,925.4,0.0,0.0,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,5x,900.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,2,925.4,523.3,376.7,0.4346,0.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
City-A,T1,5x,900.0,S0b_StressOracle,routine,M_routine,800,True,4,1158.1,1518.3,0.0,0.0,1.0,dist_truncnorm,9,0.67,0.15,truncnorm,none
