city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success,config_name,seed_id,xi_mean,xi_std,xi_dist,xi_persistence
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,530.7,530.7,0.0,0.0,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,530.7,254.5,0.0,0.5205,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,316.1,349.5,0.0,0.0,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,316.1,316.1,0.0,0.0,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,530.7,0.0,0.2174,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,254.5,0.0,0.6247,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,530.7,0.0,0.0,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,254.5,0.0,0.3956,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,489.1,530.7,0.0,0.0,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,489.1,254.5,0.0,0.4797,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,453.7,530.7,0.0,0.0,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,1x,180.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,453.7,254.5,0.0,0.439,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,1x,180.0,S5_CityCalib,routine,M_routine,800,True,1,450.1,530.7,0.0,0.0,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,1x,180.0,S5_CityCalib,cross_regime,M_stress,800,True,1,450.1,254.5,0.0,0.4345,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,1x,180.0,S6_Q10,routine,M_routine,800,True,1,297.1,530.7,0.0,0.0,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,1x,180.0,S6_Q10,cross_regime,M_stress,800,True,1,297.1,254.5,0.0,0.1434,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,2x,360.0,S0a_RoutineOracle,routine,M_routine,800,True,1,530.7,530.7,0.0,0.0,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,2x,360.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,530.7,254.5,105.5,0.5205,0.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,2x,360.0,S0b_StressOracle,routine,M_routine,800,True,2,628.5,801.5,0.0,0.0,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,2x,360.0,S0b_StressOracle,cross_regime,M_stress,800,True,2,628.5,628.5,0.0,0.0,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,2x,360.0,S1_CapRR,routine,M_routine,800,True,1,678.2,530.7,0.0,0.2174,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,2x,360.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,254.5,105.5,0.6247,0.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,2x,360.0,S2_Platform,routine,M_routine,800,True,1,421.1,530.7,0.0,0.0,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,2x,360.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,254.5,105.5,0.3956,0.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,2x,360.0,S3_Lin4,routine,M_routine,800,True,1,489.1,530.7,0.0,0.0,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,2x,360.0,S3_Lin4,cross_regime,M_stress,800,True,1,489.1,254.5,105.5,0.4797,0.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,2x,360.0,S4_GlobalCalib,routine,M_routine,800,True,1,453.7,530.7,0.0,0.0,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,2x,360.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,453.7,254.5,105.5,0.439,0.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,2x,360.0,S5_CityCalib,routine,M_routine,800,True,1,450.1,530.7,0.0,0.0,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,2x,360.0,S5_CityCalib,cross_regime,M_stress,800,True,1,450.1,254.5,105.5,0.4345,0.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,2x,360.0,S6_Q10,routine,M_routine,800,True,2,566.7,993.5,0.0,0.0,1.0,persistence_full,3,0.67,0.15,beta,full
City-A,T1,2x,360.0,S6_Q10,cross_regime,M_stress,800,True,2,566.7,565.7,0.0,0.0017,1.0,persistence_full,3,0.67,0.15,beta,full
