city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success,config_name,seed_id,xi_mean,xi_std,xi_dist,xi_persistence
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,471.5,471.5,0.0,0.0,1.0,persistence_half,0,0.67,0.15,beta,half
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,471.5,301.7,0.0,0.3602,1.0,persistence_half,0,0.67,0.15,beta,half
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,301.7,471.5,0.0,0.0,1.0,persistence_half,0,0.67,0.15,beta,half
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,301.7,301.7,0.0,0.0,1.0,persistence_half,0,0.67,0.15,beta,half
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,471.5,0.0,0.3047,1.0,persistence_half,0,0.67,0.15,beta,half
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,301.7,0.0,0.5552,1.0,persistence_half,0,0.67,0.15,beta,half
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,471.5,0.0,0.0,1.0,persistence_half,0,0.67,0.15,beta,half
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,301.7,0.0,0.2836,1.0,persistence_half,0,0.67,0.15,beta,half
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,488.8,471.5,0.0,0.0354,1.0,persistence_half,0,0.67,0.15,beta,half
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,488.8,301.7,0.0,0.3828,1.0,persistence_half,0,0.67,0.15,beta,half
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,452.3,471.5,0.0,0.0,1.0,persistence_half,0,0.67,0.15,beta,half
City-A,T1,1x,180.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,452.3,301.7,0.0,0.333,1.0,persistence_half,0,0.67,0.15,beta,half
City-A,T1,1x,180.0,S5_CityCalib,routine,M_routine,800,True,1,453.5,471.5,0.0,0.0,1.0,persistence_half,0,0.67,0.15,beta,half
City-A,T1,1x,180.0,S5_CityCalib,cross_regime,M_stress,800,True,1,453.5,301.7,0.0,0.3347,1.0,persistence_half,0,0.67,0.15,beta,half
City-A,T1,1x,180.0,S6_Q10,routine,M_routine,800,True,1,422.1,471.5,0.0,0.0,1.0,persistence_half,0,0.67,0.15,beta,half
