city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success,config_name,seed_id,xi_mean,xi_std,xi_dist,xi_persistence
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,448.4,448.4,0.0,0.0,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,448.4,249.3,0.0,0.444,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,283.5,406.8,0.0,0.0,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,283.5,283.5,0.0,0.0,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,406.8,0.0,0.4002,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,283.5,0.0,0.582,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,406.8,0.0,0.0339,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,283.5,0.0,0.3268,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,489.1,406.8,0.0,0.1683,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,489.1,283.5,0.0,0.4204,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,451.8,406.8,0.0,0.0997,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,1x,180.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,451.8,283.5,0.0,0.3726,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,1x,180.0,S5_CityCalib,routine,M_routine,800,True,1,453.0,406.8,0.0,0.1019,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,1x,180.0,S5_CityCalib,cross_regime,M_stress,800,True,1,453.0,283.5,0.0,0.3742,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,1x,180.0,S6_Q10,routine,M_routine,800,True,1,408.8,406.8,0.0,0.005,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,1x,180.0,S6_Q10,cross_regime,M_stress,800,True,1,408.8,283.5,0.0,0.3066,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,2x,360.0,S0a_RoutineOracle,routine,M_routine,800,True,1,448.4,448.4,0.0,0.0,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,2x,360.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,448.4,249.3,110.7,0.444,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,2x,360.0,S0b_StressOracle,routine,M_routine,800,True,2,566.2,820.3,0.0,0.0,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,2x,360.0,S0b_StressOracle,cross_regime,M_stress,800,True,2,566.2,566.2,0.0,0.0,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,2x,360.0,S1_CapRR,routine,M_routine,800,True,1,678.2,406.8,0.0,0.4002,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,2x,360.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,283.5,76.5,0.582,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,2x,360.0,S2_Platform,routine,M_routine,800,True,1,421.1,406.8,0.0,0.0339,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,2x,360.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,283.5,76.5,0.3268,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,2x,360.0,S3_Lin4,routine,M_routine,800,True,1,489.1,406.8,0.0,0.1683,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,2x,360.0,S3_Lin4,cross_regime,M_stress,800,True,1,489.1,283.5,76.5,0.4204,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,2x,360.0,S4_GlobalCalib,routine,M_routine,800,True,1,451.8,406.8,0.0,0.0997,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,2x,360.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,451.8,283.5,76.5,0.3726,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,2x,360.0,S5_CityCalib,routine,M_routine,800,True,1,453.0,406.8,0.0,0.1019,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,2x,360.0,S5_CityCalib,cross_regime,M_stress,800,True,1,453.0,283.5,76.5,0.3742,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,2x,360.0,S6_Q10,routine,M_routine,800,True,1,408.8,406.8,0.0,0.005,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,2x,360.0,S6_Q10,cross_regime,M_stress,800,True,1,408.8,283.5,76.5,0.3066,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,5x,900.0,S0a_RoutineOracle,routine,M_routine,800,True,3,1268.7,1268.7,0.0,0.0,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,5x,900.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,3,1268.7,815.6,84.4,0.3572,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,5x,900.0,S0b_StressOracle,routine,M_routine,800,True,4,1104.0,1540.6,0.0,0.0,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,5x,900.0,S0b_StressOracle,cross_regime,M_stress,800,True,4,1104.0,1104.0,0.0,0.0,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,5x,900.0,S1_CapRR,routine,M_routine,800,True,2,1293.4,820.3,79.7,0.3658,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,5x,900.0,S1_CapRR,cross_regime,M_stress,800,True,2,1293.4,566.2,333.8,0.5622,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,5x,900.0,S2_Platform,routine,M_routine,800,True,3,1202.1,1179.6,0.0,0.0187,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,5x,900.0,S2_Platform,cross_regime,M_stress,800,True,3,1202.1,793.7,106.3,0.3397,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,5x,900.0,S3_Lin4,routine,M_routine,800,True,3,1253.8,1167.7,0.0,0.0686,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,5x,900.0,S3_Lin4,cross_regime,M_stress,800,True,3,1253.8,751.0,149.0,0.401,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,5x,900.0,S4_GlobalCalib,routine,M_routine,800,True,3,1259.0,1211.7,0.0,0.0376,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,5x,900.0,S4_GlobalCalib,cross_regime,M_stress,800,True,3,1259.0,845.1,54.9,0.3288,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,5x,900.0,S5_CityCalib,routine,M_routine,800,True,3,1262.1,1211.7,0.0,0.04,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,5x,900.0,S5_CityCalib,cross_regime,M_stress,800,True,3,1262.1,845.1,54.9,0.3305,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,5x,900.0,S6_Q10,routine,M_routine,800,True,3,1139.1,1211.7,0.0,0.0,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,5x,900.0,S6_Q10,cross_regime,M_stress,800,True,3,1139.1,845.1,54.9,0.2581,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,10x,1800.0,S0a_RoutineOracle,routine,M_routine,800,True,5,2043.9,2043.9,0.0,0.0,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,10x,1800.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,5,2043.9,1292.0,508.0,0.3679,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,10x,1800.0,S0b_StressOracle,routine,M_routine,800,True,7,1836.8,2584.6,0.0,0.0,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,10x,1800.0,S0b_StressOracle,cross_regime,M_stress,800,True,7,1836.8,1836.8,0.0,0.0,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,10x,1800.0,S1_CapRR,routine,M_routine,800,True,3,1889.7,1211.7,588.3,0.3588,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,10x,1800.0,S1_CapRR,cross_regime,M_stress,800,True,3,1889.7,845.1,954.9,0.5528,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,10x,1800.0,S2_Platform,routine,M_routine,800,True,5,1914.5,1828.0,0.0,0.0452,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,10x,1800.0,S2_Platform,cross_regime,M_stress,800,True,5,1914.5,1306.0,494.0,0.3178,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,10x,1800.0,S3_Lin4,routine,M_routine,800,True,5,1972.8,2029.7,0.0,0.0,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,10x,1800.0,S3_Lin4,cross_regime,M_stress,800,True,5,1972.8,1283.1,516.9,0.3496,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,10x,1800.0,S4_GlobalCalib,routine,M_routine,800,True,5,2023.8,1979.8,0.0,0.0218,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,10x,1800.0,S4_GlobalCalib,cross_regime,M_stress,800,True,5,2023.8,1347.8,452.2,0.334,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,10x,1800.0,S5_CityCalib,routine,M_routine,800,True,5,2028.7,1979.8,0.0,0.0241,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,10x,1800.0,S5_CityCalib,cross_regime,M_stress,800,True,5,2028.7,1347.8,452.2,0.3357,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,10x,1800.0,S6_Q10,routine,M_routine,800,True,5,1830.9,1979.8,0.0,0.0,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T1,10x,1800.0,S6_Q10,cross_regime,M_stress,800,True,5,1830.9,1347.8,452.2,0.2639,0.0,std_0.05,3,0.67,0.05,beta,none
City-A,T2,1x,260.0,S0a_RoutineOracle,routine,M_routine,800,True,1,472.5,472.5,0.0,0.0,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T2,1x,260.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,472.5,280.3,0.0,0.4067,1.0,std_0.05,3,0.67,0.05,beta,none
City-A,T2,1x,260.0,S0b_StressOracle,routine,M_routine,800,True,1,293.4,368.7,0.0,0.0,1.0,std_0.05,3,0.67,0.05,beta,none
